OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ProjectName,ActivityConductingOrganizationText,MonitoringLocationIdentifier,MonitoringLocationName,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionMethod/MethodDescriptionText,SampleCollectionEquipmentName,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,DataQuality/PrecisionValue,DataQuality/BiasValue,DataQuality/ConfidenceIntervalValue,DataQuality/UpperConfidenceLimitValue,DataQuality/LowerConfidenceLimitValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,BinaryObjectFileName,BinaryObjectFileTypeCode,ResultFileUrl,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ResultAnalyticalMethod/MethodUrl,ResultAnalyticalMethod/MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,ResultDetectionQuantitationLimitUrl,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,LabSamplePreparationUrl,LastUpdated,ProviderName
21PA_WQX,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION,21PA_WQX-2515282,Sample-Routine,Water,,2022-09-27,10:28:00,EST,,,EST,,,,,,,,,PADEP WQ Data,PADEP Water Quality Data,,21PA_WQX-LBU,LOGAN BRANCH UPSTREAM OF PIPELINE FLUME DISCHRG; TEMP MP,,,,,40.8642000000,-77.7583000000,001,21PA_WQX,Water Grab Sample,,Miscellaneous (Other),STORET-962365277,Present Below Quantification Limit,as N,Ammonia,Total,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,00610A,21PA_WQX,Ammonia,,,,2022-09-27,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21PA_WQX/activities/21PA_WQX-2515282/results/962365277/resdetectqntlmts,Lower Reporting Limit,.02,mg/L,,2023-01-04T14:08:56,STORET
21PA_WQX,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION,21PA_WQX-2497341,Quality Control Sample-Field Replicate,Water,,2022-06-14,09:30:00,EST,,,EST,,,,,,,,,SPRINGCREEK,Spring Creek Evaluation and Assessment Project 2021,,21PA_WQX-SC4,SC4 Spring Creek USGS gage downstream of fish hatchery,,,,,40.8894000000,-77.7939000000,001,21PA_WQX,Water Grab Sample,,Miscellaneous (Other),STORET-962430529,,,Organic carbon,Total,1.92,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,00680,21PA_WQX,C,,,,2022-06-14,,,,,,,2023-01-04T14:19:13,STORET
21PA_WQX,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION,21PA_WQX-2468540,Sample-Routine,Water,,2022-01-12,14:53:00,EST,,,EST,,,,,,,,,SPRINGCREEK,Spring Creek Evaluation and Assessment Project 2021,,21PA_WQX-SC3,SC3 Spring Creek between fish hatcheries,,,,,40.8608000000,-77.8064000000,001,21PA_WQX,Water Grab Sample,,Miscellaneous (Other),STORET-962359206,Present Below Quantification Limit,,Zinc,Dissolved,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,01090A,21PA_WQX,Zinc,,,,2022-01-12,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21PA_WQX/activities/21PA_WQX-2468540/results/962359206/resdetectqntlmts,Lower Reporting Limit,30.0,ug/L,,2023-01-04T14:07:49,STORET
21PA_WQX,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION,21PA_WQX-2476666,Sample-Routine,Water,,2022-03-22,08:12:00,EST,,,EST,,,,,,,,,SPRINGCREEK,Spring Creek Evaluation and Assessment Project 2021,,21PA_WQX-SC4,SC4 Spring Creek USGS gage downstream of fish hatchery,,,,,40.8894000000,-77.7939000000,001,21PA_WQX,Water Grab Sample,,Miscellaneous (Other),STORET-962334808,,,Total dissolved solids,,306,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,70300U,21PA_WQX,Dissolved Solids,,,,2022-03-22,,,,,,,2023-01-04T14:04:17,STORET
21PA_WQX,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION,21PA_WQX-2508630,Sample-Routine,Water,,2022-08-18,10:14:00,EST,,,EST,,,,,,,,,SPRINGCREEK,Spring Creek Evaluation and Assessment Project 2021,,21PA_WQX-SC4,SC4 Spring Creek USGS gage downstream of fish hatchery,,,,,40.8894000000,-77.7939000000,001,21PA_WQX,Water Grab Sample,,Miscellaneous (Other),STORET-962381396,,as N,Nitrate + Nitrite,Dissolved,3.53,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,00631A,21PA_WQX,NOX,,,,2022-08-18,,,,,,,2023-01-04T14:11:25,STORET
21PA_WQX,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION,21PA_WQX-2483751,Sample-Routine,Water,,2022-04-13,10:06:00,EST,,,EST,,,,,,,,,SPRINGCREEK,Spring Creek Evaluation and Assessment Project 2021,,21PA_WQX-SC7,SPRING CREEK UPSTREAM OF CEDAR RUN,,,,,40.7928000000,-77.7983000000,001,21PA_WQX,Water Grab Sample,,Miscellaneous (Other),STORET-962355344,,,Dissolved oxygen (DO),,96.6,%,,Final,,Actual,,,,,,,,,,,,,,,,,,,,F00301,21PA_WQX,Oxygen,,,,2022-04-13,,,,,,,2023-01-04T14:07:17,STORET
21PA_WQX,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION,21PA_WQX-2515275,Sample-Routine,Water,,2022-09-27,11:11:00,EST,,,EST,,,,,,,,,SPRINGCREEK,Spring Creek Evaluation and Assessment Project 2021,,21PA_WQX-BSBEL,Big Spring Bellefonte discrete location,,,,,40.9097000000,-77.7814000000,001,21PA_WQX,Water Grab Sample,,Miscellaneous (Other),STORET-962362318,,as N,Nitrogen,Dissolved,1.830,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,00602A,21PA_WQX,Nitrogen,,,,2022-09-27,,,,,,,2023-01-04T14:08:27,STORET
21PA_WQX,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION,21PA_WQX-2515265,Sample-Routine,Water,,2022-09-27,07:54:00,EST,,,EST,,,,,,,,,SPRINGCREEK,Spring Creek Evaluation and Assessment Project 2021,,21PA_WQX-BBSC,Spring Creek War Memorial Boalsburg discrete location,,,,,40.7806000000,-77.7931000000,001,21PA_WQX,Water Grab Sample,,Miscellaneous (Other),STORET-962321082,Present Below Quantification Limit,,Copper,Total,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,01042H,21PA_WQX,Copper,,,,2022-09-27,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21PA_WQX/activities/21PA_WQX-2515265/results/962321082/resdetectqntlmts,Lower Reporting Limit,0.8542,ug/L,,2023-01-04T14:01:46,STORET
21PA_WQX,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION,21PA_WQX-2508402,Sample-Routine,Water,,2022-08-17,12:09:00,EST,,,EST,,,,,,,,,SPRINGCREEK,Spring Creek Evaluation and Assessment Project 2021,,21PA_WQX-SC3,SC3 Spring Creek between fish hatcheries,,,,,40.8608000000,-77.8064000000,001,21PA_WQX,Water Grab Sample,,Miscellaneous (Other),STORET-962454929,Present Below Quantification Limit,,Cadmium,Dissolved,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,01025H,21PA_WQX,Cadmium,,,,2022-08-17,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21PA_WQX/activities/21PA_WQX-2508402/results/962454929/resdetectqntlmts,Lower Reporting Limit,0.200,ug/L,,2023-01-04T14:24:16,STORET
21PA_WQX,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION,21PA_WQX-2483753,Sample-Routine,Water,,2022-04-13,12:07:00,EST,,,EST,,,,,,,,,SPRINGCREEK,Spring Creek Evaluation and Assessment Project 2021,,21PA_WQX-SC2,SC2 Spring Creek upstream of first fish hatchery,,,,,40.8497000000,-77.8239000000,001,21PA_WQX,Water Grab Sample,,Miscellaneous (Other),STORET-962488940,,,Manganese,Total,10.00,ug/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,01055A,21PA_WQX,Manganese,,,,2022-04-13,,,,,,,2023-01-04T14:37:18,STORET
21PA_WQX,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION,21PA_WQX-2509450,Sample-Routine,Water,,2022-08-23,07:58:00,EST,,,EST,,,,,,,,,PADEP WQ Data,PADEP Water Quality Data,,21PA_WQX-67179662,UNT Potter Brook,,,,,40.8378000000,-77.7256000000,001,21PA_WQX,Water Grab Sample,,Miscellaneous (Other),STORET-962457747,Present Below Quantification Limit,,Lead,Dissolved,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,01049H,21PA_WQX,Lead,,,,2022-08-23,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21PA_WQX/activities/21PA_WQX-2509450/results/962457747/resdetectqntlmts,Lower Reporting Limit,1.00,ug/L,,2023-01-04T14:24:55,STORET
21PA_WQX,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION,21PA_WQX-2515280,Sample-Routine,Water,,2022-09-27,10:05:00,EST,,,EST,,,,,,,,,PADEP WQ Data,PADEP Water Quality Data,,21PA_WQX-SFH_EFF,Logan Branch at SFH discharge,,,,,40.8733000000,-77.7614000000,001,21PA_WQX,Water Grab Sample,,Miscellaneous (Other),STORET-962397258,Present Below Quantification Limit,,Lead,Dissolved,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,01049H,21PA_WQX,Lead,,,,2022-09-27,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21PA_WQX/activities/21PA_WQX-2515280/results/962397258/resdetectqntlmts,Lower Reporting Limit,1.00,ug/L,,2023-01-04T14:13:35,STORET
21PA_WQX,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION,21PA_WQX-2506407,Sample-Routine,Water,,2022-08-08,12:30:00,EST,,,EST,,,,,,,,,WQN,PA Surface Water Quality Monitoring Network,,21PA_WQX-WQN0415,SPRING CREEK,,,,,40.8900000000,-77.7942000000,001,21PA_WQX,Water Grab Sample,,Miscellaneous (Other),STORET-962341587,,as N,Nitrate,Total,3.22,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,00620,21PA_WQX,Nitrate (No3),,,,2022-08-08,,,,,,,2023-01-04T14:05:32,STORET
21PA_WQX,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION,21PA_WQX-2497340,Sample-Routine,Water,,2022-06-14,09:26:00,EST,,,EST,,,,,,,,,SPRINGCREEK,Spring Creek Evaluation and Assessment Project 2021,,21PA_WQX-SC4,SC4 Spring Creek USGS gage downstream of fish hatchery,,,,,40.8894000000,-77.7939000000,001,21PA_WQX,Water Grab Sample,,Miscellaneous (Other),STORET-962302058,Present Below Quantification Limit,,Total suspended solids,,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,00530,21PA_WQX,Residue,,,,2022-06-14,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21PA_WQX/activities/21PA_WQX-2497340/results/962302058/resdetectqntlmts,Lower Reporting Limit,20,mg/L,,2023-01-04T13:58:45,STORET
21PA_WQX,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION,21PA_WQX-2515274,Sample-Routine,Water,,2022-09-27,10:43:00,EST,,,EST,,,,,,,,,SPRINGCREEK,Spring Creek Evaluation and Assessment Project 2021,,21PA_WQX-SCUPBR,Spring Creek upstream Buffalo Run discrete location,,,,,40.9164000000,-77.7856000000,001,21PA_WQX,Water Grab Sample,,Miscellaneous (Other),STORET-962467551,,as P,Phosphorus,Dissolved,0.021,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,00666A,21PA_WQX,Phosphorus,,,,2022-09-27,,,,,,,2023-01-04T14:27:33,STORET
21PA_WQX,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION,21PA_WQX-2484343,Sample-Routine,Water,,2022-04-14,08:41:00,EST,,,EST,,,,,,,,,SPRINGCREEK,Spring Creek Evaluation and Assessment Project 2021,,21PA_WQX-SC4,SC4 Spring Creek USGS gage downstream of fish hatchery,,,,,40.8894000000,-77.7939000000,001,21PA_WQX,Water Grab Sample,,Miscellaneous (Other),STORET-962431320,Present Below Quantification Limit,,Lead,Dissolved,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,01049H,21PA_WQX,Lead,,,,2022-04-14,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21PA_WQX/activities/21PA_WQX-2484343/results/962431320/resdetectqntlmts,Lower Reporting Limit,1.00,ug/L,,2023-01-04T14:19:22,STORET
21PA_WQX,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION,21PA_WQX-2515268,Sample-Routine,Water,,2022-09-27,08:53:00,EST,,,EST,,,,,,,,,SPRINGCREEK,Spring Creek Evaluation and Assessment Project 2021,,21PA_WQX-SCPUD,Spring Creek Puddintown Road discrete location,,,,,40.8206000000,-77.8322000000,001,21PA_WQX,Water Grab Sample,,Miscellaneous (Other),STORET-962375989,Present Below Quantification Limit,,Aluminum,Dissolved,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,01106H,21PA_WQX,Aluminum,,,,2022-09-27,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21PA_WQX/activities/21PA_WQX-2515268/results/962375989/resdetectqntlmts,Lower Reporting Limit,15.0,ug/L,,2023-01-04T14:10:36,STORET
21PA_WQX,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION,21PA_WQX-2468538,Sample-Routine,Water,,2022-01-12,12:56:00,EST,,,EST,,,,,,,,,SPRINGCREEK,Spring Creek Evaluation and Assessment Project 2021,,21PA_WQX-SC1,SC1 - Spring Creek Houserville USGS gage upstream UAJA,,,,,40.8339000000,-77.8272000000,001,21PA_WQX,Water Grab Sample,,Miscellaneous (Other),STORET-962357605,,,Barium,Total,38.00,ug/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,01007A,21PA_WQX,Barium,,,,2022-01-12,,,,,,,2023-01-04T14:07:35,STORET
21PA_WQX,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION,21PA_WQX-2471379,Sample-Routine,Water,,2022-02-08,09:53:00,EST,,,EST,,,,,,,,,SPRINGCREEK,Spring Creek Evaluation and Assessment Project 2021,,21PA_WQX-SC4,SC4 Spring Creek USGS gage downstream of fish hatchery,,,,,40.8894000000,-77.7939000000,001,21PA_WQX,Water Grab Sample,,Miscellaneous (Other),STORET-962357491,,,Dissolved oxygen (DO),,100.0,%,,Final,,Actual,,,,,,,,,,,,,,,,,,,,F00301,21PA_WQX,Oxygen,,,,2022-02-08,,,,,,,2023-01-04T14:07:34,STORET
21PA_WQX,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION,21PA_WQX-2470974,Sample-Routine,Water,,2022-02-07,13:44:00,EST,,,EST,,,,,,,,,SPRINGCREEK,Spring Creek Evaluation and Assessment Project 2021,,21PA_WQX-SC2,SC2 Spring Creek upstream of first fish hatchery,,,,,40.8497000000,-77.8239000000,001,21PA_WQX,Water Grab Sample,,Miscellaneous (Other),STORET-962308833,,,Sulfate,Total,25.71,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,00945,21PA_WQX,Sulfate,,,,2022-02-07,,,,,,,2023-01-04T13:59:51,STORET
21PA_WQX,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION,21PA_WQX-2496958,Sample-Routine,Water,,2022-06-13,08:27:00,EST,,,EST,,,,,,,,,SPRINGCREEK,Spring Creek Evaluation and Assessment Project 2021,,21PA_WQX-LB1,LB1 Logan Branch downstream of hatchery,,,,,40.8917000000,-77.7642000000,001,21PA_WQX,Water Grab Sample,,Miscellaneous (Other),STORET-962405364,,as N,Nitrate + Nitrite,Dissolved,3.80,mg/L,,Final,,Actual,,,,,,,,,,,,,,,,,,,,00631A,21PA_WQX,NOX,,,,2022-06-13,,,,,,,2023-01-04T14:14:50,STORET
21PA_WQX,PA DEPARTMENT OF ENVIRONMENTAL PROTECTION,21PA_WQX-2515270,Sample-Routine,Water,,2022-09-27,09:37:00,EST,,,EST,,,,,,,,,SPRINGCREEK,Spring Creek Evaluation and Assessment Project 2021,,21PA_WQX-SCWAT,Spring Creek Water St discrete location,,,,,40.9006000000,-77.7975000000,001,21PA_WQX,Water Grab Sample,,Miscellaneous (Other),STORET-962340080,Present Below Quantification Limit,,Nickel,Dissolved,,,,Final,,Actual,,,,,,,,,,,,,,,,,,,,01065H,21PA_WQX,Nickel,,,,2022-09-27,,https://www.waterqualitydata.us/data/providers/STORET/organizations/21PA_WQX/activities/21PA_WQX-2515270/results/962340080/resdetectqntlmts,Lower Reporting Limit,8.00,ug/L,,2023-01-04T14:05:14,STORET
